std_a_	std_yawdd_	std_laspx_	std_laspy_	std_radr_	std_radphi_	std_radrd_	1rmse_px	1rmse_py	1rmse_vx	1rmse_vy	1nis_total	1nis_lidar	1nis_radar	2rmse_px	2rmse_py	2rmse_vx	2rmse_vy	2nis_total	2nis_lidar	2nis_radar	
0.2	0.4	0.0825	0.0825	0.25	0.0125	0.25	0.194251	0.190904	0.383833	0.48384	78.5	79	78	0.0695028	0.0713557	0.591302	0.570259	76.634	64.2157	89.0523	
0.21	0.4	0.0825	0.0825	0.25	0.0125	0.25	0.194735	0.19087	0.346428	0.460094	80	80	80	0.0695985	0.0710353	0.591468	0.570071	76.5523	64.0523	89.0523	
0.22	0.4	0.0825	0.0825	0.25	0.0125	0.25	0.194841	0.19083	0.33404	0.44791	79.5	80	79	0.0696787	0.0707364	0.591611	0.569896	76.5523	64.0523	89.0523	
0.23	0.4	0.0825	0.0825	0.25	0.0125	0.25	0.195037	0.190394	0.392481	0.467047	80	80	80	0.0697451	0.0704572	0.591734	0.569731	76.634	64.2157	89.0523	
0.24	0.4	0.0825	0.0825	0.25	0.0125	0.25	0.194763	0.191765	0.513503	0.541542	78.5	79	78	0.0697994	0.0701959	0.591837	0.569576	76.5523	64.2157	88.8889	
0.33	0.4	0.0825	0.0825	0.25	0.0125	0.25	0.19742	0.19173	0.36113	0.492208	77.5	77	78	0.0699347	0.0684407	0.592101	0.568481	76.4706	63.8889	89.0523	
0.34	0.4	0.0825	0.0825	0.25	0.0125	0.25	0.197365	0.193362	0.461883	0.481258	76	75	77	0.0699246	0.0682953	0.592074	0.568382	76.3889	63.7255	89.0523	
0.35	0.4	0.0825	0.0825	0.25	0.0125	0.25	0.198067	0.19143	0.462738	0.47917	78	77	79	0.0699114	0.0681575	0.592039	0.568287	76.5523	63.8889	89.2157	
0.38	0.4	0.0825	0.0825	0.25	0.0125	0.25	0.198751	0.191436	0.416526	0.482969	78.5	76	81	0.0698566	0.0677854	0.591887	0.568017	76.634	63.8889	89.3791	
0.39	0.4	0.0825	0.0825	0.25	0.0125	0.25	0.198449	0.192179	0.454417	0.489187	78	76	80	0.0698342	0.0676739	0.591822	0.567932	76.4706	63.3987	89.5425	
0.4	0.4	0.0825	0.0825	0.25	0.0125	0.25	0.198931	0.192039	0.453846	0.496914	77.5	76	79	0.0698102	0.067568	0.591751	0.56785	76.4706	63.3987	89.5425	
0.41	0.4	0.0825	0.0825	0.25	0.0125	0.25	0.199591	0.191994	0.438745	0.489417	79	79	79	0.0697847	0.0674676	0.591674	0.56777	76.4706	63.3987	89.5425	
0.18	0.41	0.0825	0.0825	0.25	0.0125	0.25	0.194042	0.190965	0.382115	0.458582	77	80	74	0.0678591	0.0709189	0.588036	0.56874	76.3889	64.3791	88.3987	
0.19	0.41	0.0825	0.0825	0.25	0.0125	0.25	0.194701	0.190959	0.383745	0.475012	78.5	81	76	0.0679943	0.0705494	0.588251	0.568518	76.3889	64.2157	88.5621	
0.2	0.41	0.0825	0.0825	0.25	0.0125	0.25	0.194902	0.191015	0.370472	0.478256	79.5	82	77	0.0681094	0.0702056	0.58844	0.568311	76.3889	64.2157	88.5621	
0.21	0.41	0.0825	0.0825	0.25	0.0125	0.25	0.194959	0.191099	0.33872	0.46369	80	82	78	0.0682067	0.0698854	0.588605	0.568119	76.4706	64.3791	88.5621	
0.22	0.41	0.0825	0.0825	0.25	0.0125	0.25	0.195715	0.190682	0.335463	0.461976	80	82	78	0.0682885	0.0695864	0.588748	0.567939	76.3072	64.2157	88.3987	
0.32	0.41	0.0825	0.0825	0.25	0.0125	0.25	0.197235	0.193002	0.461847	0.544632	77	78	76	0.0685687	0.0674354	0.58927	0.56658	76.3072	63.8889	88.7255	
0.33	0.41	0.0825	0.0825	0.25	0.0125	0.25	0.197678	0.191415	0.445619	0.502169	77.5	77	78	0.0685637	0.0672807	0.589255	0.566473	76.3889	63.8889	88.8889	
0.37	0.41	0.0825	0.0825	0.25	0.0125	0.25	0.199401	0.190684	0.486182	0.493862	77	76	78	0.0685124	0.0667378	0.58911	0.566078	76.634	64.0523	89.2157	
0.38	0.41	0.0825	0.0825	0.25	0.0125	0.25	0.198799	0.19296	0.452753	0.489773	77.5	76	79	0.0684933	0.0666188	0.589055	0.565986	76.5523	63.8889	89.2157	
0.39	0.41	0.0825	0.0825	0.25	0.0125	0.25	0.198717	0.191881	0.47842	0.506255	77.5	76	79	0.0684724	0.0665059	0.588994	0.565897	76.5523	63.7255	89.3791	
0.4	0.41	0.0825	0.0825	0.25	0.0125	0.25	0.199762	0.192062	0.431403	0.501916	79.5	79	80	0.0684497	0.0663986	0.588926	0.565811	76.634	63.7255	89.5425	
0.05	0.42	0.0825	0.0825	0.25	0.0125	0.25	0.190493	0.192037	0.494379	0.49972	76	80	72	0.0616821	0.0775802	0.580065	0.572305	76.5523	65.1961	87.9085	
0.17	0.42	0.0825	0.0825	0.25	0.0125	0.25	0.194065	0.190872	0.405221	0.478742	78.5	82	75	0.066372	0.0702243	0.585042	0.567136	76.1438	64.2157	88.0719	
0.18	0.42	0.0825	0.0825	0.25	0.0125	0.25	0.19484	0.191005	0.389406	0.472081	78	80	76	0.0665308	0.0698281	0.585282	0.566892	76.2255	64.2157	88.2353	
0.19	0.42	0.0825	0.0825	0.25	0.0125	0.25	0.195011	0.19103	0.393538	0.489626	79	80	78	0.0666669	0.0694597	0.585495	0.566666	76.2255	64.2157	88.2353	
0.2	0.42	0.0825	0.0825	0.25	0.0125	0.25	0.195523	0.191093	0.35437	0.472536	80	83	77	0.0667831	0.0691166	0.585683	0.566455	76.2255	64.2157	88.2353	
0.21	0.42	0.0825	0.0825	0.25	0.0125	0.25	0.19587	0.190893	0.332517	0.451849	79.5	81	78	0.0668817	0.0687967	0.585847	0.566259	76.1438	64.2157	88.0719	
0.22	0.42	0.0825	0.0825	0.25	0.0125	0.25	0.196227	0.190016	0.529219	0.472896	78.5	80	77	0.0669648	0.0684979	0.585989	0.566075	76.2255	64.3791	88.0719	
0.32	0.42	0.0825	0.0825	0.25	0.0125	0.25	0.198044	0.192079	0.361274	0.500436	77.5	78	77	0.0672599	0.0663401	0.586523	0.564674	75.9804	63.8889	88.0719	
0.37	0.42	0.0825	0.0825	0.25	0.0125	0.25	0.199309	0.192222	0.41923	0.496486	78.5	77	80	0.0672106	0.0656367	0.586375	0.564152	76.0621	63.7255	88.3987	
0.38	0.42	0.0825	0.0825	0.25	0.0125	0.25	0.198666	0.191577	0.501996	0.543883	77.5	77	78	0.0671929	0.0655166	0.586323	0.564056	76.0621	63.7255	88.3987	
0.39	0.42	0.0825	0.0825	0.25	0.0125	0.25	0.199767	0.192102	0.432281	0.509008	79	79	79	0.0671733	0.0654024	0.586265	0.563963	76.1438	63.8889	88.3987	
0.04	0.43	0.0825	0.0825	0.25	0.0125	0.25	0.191372	0.190694	0.522067	0.480581	75.5	81	70	0.0600494	0.0770478	0.577301	0.571054	76.4706	65.6863	87.2549	
0.05	0.43	0.0825	0.0825	0.25	0.0125	0.25	0.197104	0.190468	0.530153	0.485432	75.5	79	72	0.0605111	0.0764151	0.577589	0.570511	76.3072	65.3595	87.2549	
0.17	0.43	0.0825	0.0825	0.25	0.0125	0.25	0.195017	0.191125	0.381825	0.454639	77.5	81	74	0.0651068	0.0691877	0.582391	0.565374	76.0621	64.3791	87.7451	
0.18	0.43	0.0825	0.0825	0.25	0.0125	0.25	0.195491	0.191192	0.393178	0.482395	76.5	79	74	0.0652659	0.0687933	0.582628	0.565127	76.0621	64.2157	87.9085	
0.19	0.43	0.0825	0.0825	0.25	0.0125	0.25	0.195615	0.191258	0.384434	0.488571	78	80	76	0.0654025	0.0684262	0.582838	0.564897	75.8987	64.2157	87.5817	
0.2	0.43	0.0825	0.0825	0.25	0.0125	0.25	0.195718	0.191349	0.342984	0.473533	80.5	83	78	0.0655194	0.0680841	0.583024	0.564684	75.817	64.2157	87.4183	
0.21	0.43	0.0825	0.0825	0.25	0.0125	0.25	0.196186	0.190801	0.364454	0.505801	78.5	80	77	0.0656189	0.0677647	0.583186	0.564484	75.8987	64.2157	87.5817	
0.31	0.43	0.0825	0.0825	0.25	0.0125	0.25	0.198806	0.191788	0.529292	0.531587	78	79	77	0.066009	0.0654684	0.583872	0.562977	75.4902	63.8889	87.0915	
0.35	0.43	0.0825	0.0825	0.25	0.0125	0.25	0.198616	0.192263	0.479143	0.534864	76.5	77	76	0.0659938	0.0648566	0.583813	0.562524	75.4902	64.0523	86.9281	
0.36	0.43	0.0825	0.0825	0.25	0.0125	0.25	0.199541	0.192098	0.415316	0.494546	78	77	79	0.0659821	0.0647225	0.583777	0.562419	75.4085	63.8889	86.9281	
0.17	0.44	0.0825	0.0825	0.25	0.0125	0.25	0.195122	0.191416	0.399182	0.490944	77	80	74	0.0639012	0.068203	0.579833	0.563688	75.7353	64.7059	86.7647	
0.18	0.44	0.0825	0.0825	0.25	0.0125	0.25	0.195795	0.191313	0.404009	0.494779	76.5	79	74	0.0640602	0.0678105	0.580066	0.563439	75.6536	64.5425	86.7647	
0.19	0.44	0.0825	0.0825	0.25	0.0125	0.25	0.19619	0.191355	0.364634	0.484903	78	80	76	0.0641971	0.0674448	0.580274	0.563207	75.4902	64.5425	86.4379	
0.2	0.44	0.0825	0.0825	0.25	0.0125	0.25	0.196786	0.191145	0.334183	0.46871	79	81	77	0.0643144	0.0671037	0.580457	0.56299	75.6536	64.3791	86.9281	
0.22	0.44	0.0825	0.0825	0.25	0.0125	0.25	0.197573	0.190895	0.453365	0.53771	80	81	79	0.0644994	0.0664869	0.580759	0.562597	75.5719	64.3791	86.7647	
0.31	0.44	0.0825	0.0825	0.25	0.0125	0.25	0.198906	0.192339	0.362278	0.496381	79	80	78	0.0648146	0.0644864	0.581308	0.561247	75.0817	64.0523	86.1111	
0.34	0.44	0.0825	0.0825	0.25	0.0125	0.25	0.198539	0.19404	0.486985	0.541835	76	78	74	0.0648118	0.0640134	0.581282	0.560893	75.2451	64.2157	86.2745	
0.16	0.45	0.0825	0.0825	0.25	0.0125	0.25	0.19609	0.191281	0.384724	0.485339	77	81	73	0.0625683	0.0676855	0.577107	0.562343	75.4902	64.8693	86.1111	
0.17	0.45	0.0825	0.0825	0.25	0.0125	0.25	0.196175	0.191412	0.405559	0.491343	76	80	72	0.0627516	0.0672664	0.577363	0.562073	75.4085	64.8693	85.9477	
0.18	0.45	0.0825	0.0825	0.25	0.0125	0.25	0.196377	0.191619	0.398885	0.495741	76.5	79	74	0.0629101	0.0668759	0.577593	0.561822	75.3268	64.5425	86.1111	
0.19	0.45	0.0825	0.0825	0.25	0.0125	0.25	0.19625	0.191748	0.348822	0.479652	77	79	75	0.0630469	0.0665117	0.577797	0.561588	75.2451	64.5425	85.9477	
0.23	0.45	0.0825	0.0825	0.25	0.0125	0.25	0.196834	0.192268	0.535138	0.525332	75.5	78	73	0.0634222	0.0652772	0.578398	0.560787	75.2451	64.5425	85.9477	
0.33	0.45	0.0825	0.0825	0.25	0.0125	0.25	0.199345	0.196419	0.461003	0.508929	77.5	80	75	0.0636765	0.0632295	0.578825	0.559349	75.2451	64.7059	85.7843	
0.35	0.45	0.0825	0.0825	0.25	0.0125	0.25	0.198807	0.193189	0.544573	0.513913	75.5	77	74	0.0636659	0.0629364	0.578785	0.559116	75.1634	64.7059	85.6209	
0.36	0.45	0.0825	0.0825	0.25	0.0125	0.25	0.199505	0.192585	0.513396	0.542138	76	78	74	0.0636562	0.0628006	0.578754	0.559005	75.1634	64.5425	85.7843	
0.14	0.46	0.0825	0.0825	0.25	0.0125	0.25	0.195191	0.198452	0.515484	0.542973	76	80	72	0.0610229	0.0677161	0.574139	0.561405	75.4902	65.3595	85.6209	
0.16	0.46	0.0825	0.0825	0.25	0.0125	0.25	0.195476	0.192364	0.416697	0.520913	75.5	79	72	0.0614722	0.0667909	0.574724	0.560795	75.4902	65.5229	85.4575	
0.17	0.46	0.0825	0.0825	0.25	0.0125	0.25	0.19657	0.191716	0.418708	0.499929	76	80	72	0.0616543	0.0663744	0.574976	0.560523	75.2451	65.1961	85.2941	
0.18	0.46	0.0825	0.0825	0.25	0.0125	0.25	0.196313	0.191878	0.375177	0.506289	77	79	75	0.0618121	0.065986	0.575202	0.560271	75.1634	64.8693	85.4575	
0.21	0.46	0.0825	0.0825	0.25	0.0125	0.25	0.198171	0.191487	0.47397	0.520398	77	79	75	0.0621662	0.0649678	0.57574	0.559607	74.7549	64.5425	84.9673	
0.3	0.46	0.0825	0.0825	0.25	0.0125	0.25	0.199858	0.19286	0.380642	0.504875	77	79	75	0.062571	0.0628442	0.57642	0.558145	75	64.7059	85.2941	
0.34	0.46	0.0825	0.0825	0.25	0.0125	0.25	0.199828	0.193244	0.4313	0.535762	78	80	76	0.0625828	0.0621916	0.576416	0.557641	74.8366	64.7059	84.9673	
0.16	0.47	0.0825	0.0825	0.25	0.0125	0.25	0.196397	0.191788	0.421271	0.509649	77	80	74	0.0604255	0.0659378	0.572421	0.559307	75.2451	65.5229	84.9673	
0.17	0.47	0.0825	0.0825	0.25	0.0125	0.25	0.197119	0.191871	0.411495	0.50047	76.5	79	74	0.0606062	0.065524	0.572668	0.559035	75.1634	65.3595	84.9673	
0.18	0.47	0.0825	0.0825	0.25	0.0125	0.25	0.197858	0.19196	0.505656	0.538456	78.5	80	77	0.0607631	0.0651377	0.572891	0.558781	75.2451	65.1961	85.2941	
0.16	0.48	0.0825	0.0825	0.25	0.0125	0.25	0.197323	0.191947	0.437026	0.503534	75.5	79	72	0.0594254	0.0651235	0.570193	0.557875	75	65.3595	84.6405	
0.17	0.48	0.0825	0.0825	0.25	0.0125	0.25	0.19683	0.193268	0.424164	0.534126	76	78	74	0.0596045	0.0647124	0.570436	0.557603	74.9183	65.1961	84.6405	
0.15	0.49	0.0825	0.0825	0.25	0.0125	0.25	0.196632	0.19281	0.451164	0.539726	75	79	71	0.0582661	0.0647821	0.567774	0.556788	74.2647	64.8693	83.6601	
0.16	0.49	0.0825	0.0825	0.25	0.0125	0.25	0.199209	0.190778	0.46997	0.542022	74	77	71	0.0584691	0.0643454	0.568036	0.556496	74.3464	65.0327	83.6601	
0.18	0.49	0.0825	0.0825	0.25	0.0125	0.25	0.198531	0.192314	0.411769	0.535149	76	79	73	0.0588006	0.0635551	0.568489	0.555969	74.6732	65.1961	84.1503	
0.15	0.5	0.0825	0.0825	0.25	0.0125	0.25	0.197762	0.19234	0.46452	0.540235	75.5	80	71	0.0573537	0.0640345	0.56569	0.555457	74.3464	65.1961	83.4967	
0.17	0.5	0.0825	0.0825	0.25	0.0125	0.25	0.199036	0.19235	0.376024	0.517111	75.5	79	72	0.0577294	0.0631954	0.566181	0.554894	74.5915	65.3595	83.8235	
0.16	0.51	0.0825	0.0825	0.25	0.0125	0.25	0.199443	0.192415	0.41026	0.517402	74	79	69	0.0566782	0.0628884	0.563923	0.553881	74.183	65.1961	83.1699	
0.15	0.52	0.0825	0.0825	0.25	0.0125	0.25	0.199402	0.192338	0.393734	0.530904	74.5	80	69	0.0556442	0.0626324	0.561713	0.552929	74.3464	65.3595	83.3333	
0.12	0.54	0.0825	0.0825	0.25	0.0125	0.25	0.198674	0.191792	0.474725	0.5422	72	76	68	0.0533476	0.0627673	0.55714	0.551546	73.6928	65.5229	81.8627	
